lastUpdated,code,level,created,name,id,offlineLevels,code,lastUpdated,id,level,created,name,shortName,description,contactPerson,path,openingDate,email,address,url,phoneNumber,closedDate,geometry,comment,code,created,lastUpdated,name,id,shortName,symbol,color,geometry
2023-12-29T14:55:03.679,,,,,,,,,,6,2023-12-29T14:55:03.589,Agasave,Agasave,,,"/NLsvt0iBEyq/qtB5YKGpetQ/HZHCFHVBgWS/uj3egqie73m/ZXBknMa6SyJ/KZ4OkX1zVW4",2023-01-01T00:00:00.000,,,,,,,,,,,,KZ4OkX1zVW4,,,,
2023-12-29T13:17:54.657,,,,,,,,,,6,2023-12-29T13:17:54.640,Agasekabuye,Agasekabuye,,,"/NLsvt0iBEyq/I7LUEXlue90/zeO6GcBuYRF/EyiA3pJNGlu/LANtE2N2e6L/ALHgcMiGtAo",2023-01-01T00:00:00.000,,,,,,,,,,,,ALHgcMiGtAo,,,,
2023-12-29T13:29:05.811,,,,,,,,,,6,2023-12-29T13:29:05.794,Agaseke,Agaseke,,,"/NLsvt0iBEyq/d3sGVyQqwe5/gfLUf85yY51/qLqMdaBK6Zg/zSnQ8odbZ84/mCQi3FIru5i",2023-01-01T00:00:00.000,,,,,,,,,,,,mCQi3FIru5i,,,,
2023-12-29T13:34:21.897,,,,,,,,,,6,2023-12-29T13:34:21.876,Agasekebuye,Agasekebuye,,,"/NLsvt0iBEyq/d3sGVyQqwe5/CdGmPmTT2JI/gU8JLkOBQ3o/jEGY448KxcC/Qt5aS7M2xpU",2023-01-01T00:00:00.000,,,,,,,,,,,,Qt5aS7M2xpU,,,,
2023-12-29T14:43:17.807,,,,,,,,,,6,2023-12-29T14:43:17.709,Agasenga,Agasenga,,,"/NLsvt0iBEyq/I7LUEXlue90/zeO6GcBuYRF/YMgV4MZ7irv/jxux7uNZDi4/czEpuBscvbt",2023-01-01T00:00:00.000,,,,,,,,,,,,czEpuBscvbt,,,,
2023-12-29T13:38:02.576,,,,,,,,,,6,2023-12-29T13:38:02.542,Agasengasenge,Agasengasenge,,,"/NLsvt0iBEyq/d3sGVyQqwe5/CdGmPmTT2JI/pr5VMbh7s9V/ipq3FiHQpX9/JJs5V6hQ1Tt",2023-01-01T00:00:00.000,,,,,,,,,,,,JJs5V6hQ1Tt,,,,
2023-12-29T13:27:08.689,,,,,,,,,,6,2023-12-29T13:27:08.659,Agasenyi,Agasenyi,,,"/NLsvt0iBEyq/I7LUEXlue90/zeO6GcBuYRF/rwdMlmZfRak/BA5xQXunQUW/b0LfGaZiRCb",2023-01-01T00:00:00.000,,,,,,,,,,,,b0LfGaZiRCb,,,,
2023-12-29T13:17:56.535,,,,,,,,,,6,2023-12-29T13:17:56.520,Agasharu,Agasharu,,,"/NLsvt0iBEyq/I7LUEXlue90/zeO6GcBuYRF/EyiA3pJNGlu/VFxh2WdhtrI/t8ltSGYRZ9e",2023-01-01T00:00:00.000,,,,,,,,,,,,t8ltSGYRZ9e,,,,
2023-12-29T14:44:32.439,,,,,,,,,,6,2023-12-29T14:44:32.372,Agashikiri,Agashikiri,,,"/NLsvt0iBEyq/qtB5YKGpetQ/opnk6RKjDVK/EUyLD4gN1Ix/ErqRuZH4unl/isMkApF8vpS",2023-01-01T00:00:00.000,,,,,,,,,,,,isMkApF8vpS,,,,
2023-12-29T14:33:11.052,,,,,,,,,,6,2023-12-29T14:33:10.994,Agashuhe,Agashuhe,,,"/NLsvt0iBEyq/I7LUEXlue90/zeO6GcBuYRF/YMgV4MZ7irv/orwk3D9InAj/Tpm9wS9eb8Z",2023-01-01T00:00:00.000,,,,,,,,,,,,Tpm9wS9eb8Z,,,,
2023-12-29T14:56:52.043,,,,,,,,,,6,2023-12-29T14:56:51.964,Agashyamba,Agashyamba,,,"/NLsvt0iBEyq/I7LUEXlue90/zeO6GcBuYRF/rZaI7cFyJHI/SgEeL4dAW1G/auK4tZzJHEt",2023-01-01T00:00:00.000,,,,,,,,,,,,auK4tZzJHEt,,,,
